phrase,count_cum,per_million_cum,frequency,category,bin_edges
 Praia,38873,0.12962301294286768,38873,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Praia,",2500,0.008336313954600088,2500,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Pretoria,125285,0.4177660375208288,125285,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Pretoria,",32838,0.10949915105646307,32838,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Pyongyang,311299,1.038034479101221,311299,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Quito,82910,0.2764655159903573,82910,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Rabat,46465,0.15493873116019724,46465,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Rabat,",13451,0.044852703601330306,13451,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Riga,112710,0.37583437832919037,112710,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Riga,",28632,0.09547413645924388,28632,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Riyadh,209853,0.6997601969258769,209853,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Rome,3706063,12.357961881410825,3706063,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Rome,",761731,2.540011505980592,761731,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Roseau,9817,0.03273503763692362,9817,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Roseau,",2401,0.008006195921997925,2401,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 San José,72280,0.24101950905539773,72280,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" San José,",17085,0.056970369565737,17085,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 San Marino,52917,0.1764530902142291,52917,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 San Salvador,33363,0.11124977698692909,33363,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" San Salvador,",9626,0.03209814325079218,9626,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Santiago,591461,1.9722418351606892,591461,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Santiago,",120090,0.4004431771231698,120090,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Sarajevo,127247,0.4243083767123989,127247,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Seoul,669331,2.2319013422185723,669331,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Seoul,",198985,0.6635205729024394,198985,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Singapore,2361676,7.875069038017646,2361676,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Singapore,",429987,1.433802651358651,429987,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Skopje,43809,0.1460822312148301,43809,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Sofia,314518,1.048768316949164,314518,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Sofia,",50231,0.1674965545014068,50231,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Stockholm,591496,1.9723585435560533,591496,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Stockholm,",150806,0.5028664648949683,150806,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Suva,24357,0.08121903959687773,24357,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Suva,",6066,0.02022723217944165,6066,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 São Tomé,21675,0.07227584198638276,21675,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Taipei,273235,0.9111090973540619,273235,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Taipei,",64693,0.21572046346597737,64693,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tallinn,84102,0.2804402704839106,84102,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tallinn,",20305,0.0677075419392619,20305,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tarawa,18335,0.06113852654303704,18335,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tarawa,",4364,0.014551869639149912,4364,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tbilisi,83104,0.27711241395323427,83104,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tehran,728682,2.4298087700263604,728682,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tehran,",139042,0.4636391059502022,139042,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tirana,47550,0.15855669141649367,47550,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tirana,",11409,0.03804360236321296,11409,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tokyo,2057400,6.8604529320776875,2057400,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tokyo,",656273,2.188359107170905,656273,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tripoli,212785,0.7095370259318319,212785,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Tunis,293090,0.9773161027814958,293090,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Tunis,",29918,0.09976233635749017,29918,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Vaduz,7060,0.023541750607790648,7060,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Valletta,29111,0.09707137421294526,29111,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Vatican City,42538,0.1418440492003114,42538,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Vatican City,",9623,0.03208813967404665,9623,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Victoria,2258384,7.530639221618226,2258384,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Victoria,",311199,1.037701026543037,311199,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Vienna,1119904,3.7343485372049825,1119904,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Vienna,",305126,1.0174504526845225,305126,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Vientiane,31880,0.10630467554906031,31880,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Vilnius,84401,0.2814372936328808,84401,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Warsaw,532368,1.7751947149530156,532368,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Warsaw,",120817,0.4028673772211675,120817,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Washington,13760743,45.88554955862619,13760743,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Washington,",3656989,12.194323373007608,3656989,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Wellington,596269,1.9882742341581758,596269,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Wellington,",100100,0.3337860107421875,100100,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Windhoek,20935,0.06980829305582113,20935,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Yaoundé,16232,0.05412601924442744,16232,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Yaren,1063,0.003544600693495957,1063,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Yaren,",84,0.00028010014887456294,84,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Yerevan,68082,0.22702117066283325,68082,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Zagreb,156161,0.5207228493857217,156161,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Zagreb,",39195,0.13069673018022018,39195,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Afghanistan,771,0.002570919223598667,771,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Argentina,794,0.0026476133119809875,794,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Australia,2903,0.009680127764081621,2903,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Austria,830,0.002767656232927229,830,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Bangladesh,1340,0.004468264279665647,1340,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Belgium,868,0.0028943682050371505,868,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Brazil,1709,0.005698704219364619,1709,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Bulgaria,1026,0.0034212232469678755,1026,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Cambodia,700,0.0023341679072880245,700,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Canada,3015,0.010053594629247705,3015,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Chad,257,0.000856973074532889,257,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Chile,611,0.0020373951305042615,611,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of China,5328,0.017766352300043704,5328,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Colombia,628,0.002094082065395542,628,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Croatia,674,0.0022474702421601835,674,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Cuba,335,0.0011170660699164117,335,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Cyprus,361,0.0012037637350442527,361,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Denmark,822,0.0027409800282725085,822,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Ecuador,568,0.00189401053048514,568,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Egypt,1923,0.006412292693878387,1923,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Ethiopia,1381,0.004604979828521088,1381,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Finland,755,0.0025175668142892265,755,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of France,4125,0.013754918025090145,4125,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Georgia,1589,0.005298561149543816,1589,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Germany,1738,0.005795405461237981,1738,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Ghana,740,0.002467548930561626,740,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Greece,969,0.0032311552888029936,969,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Guatemala,349,0.0011637494280621722,349,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Guinea,358,0.0011937601582987325,358,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Haiti,337,0.0011237351210800918,337,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Hungary,926,0.0030877706887838725,926,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Iceland,793,0.0026442787863991475,793,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of India,7588,0.025302380115002184,7588,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Indonesia,865,0.0028843646282916305,865,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Iran,1960,0.006535670140406469,1960,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Iraq,1435,0.00478504420994045,1435,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Ireland,1030,0.003434561349295236,1030,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Italy,2313,0.007712757670796001,2313,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Jamaica,246,0.0008202932931326486,246,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Japan,3090,0.010303684047885708,3090,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Jordan,537,0.0017906402374480988,537,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Kenya,501,0.0016705973165018575,501,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Kuwait,68,0.00022674773956512238,68,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Lebanon,363,0.0012104327862079327,363,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Libya,361,0.0012037637350442527,361,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Malaysia,930,0.0031011087911112325,930,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Malta,375,0.0012504470931900132,375,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Mexico,1242,0.004141480772645323,1242,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Morocco,713,0.002377516739851945,713,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Myanmar,577,0.0019240212607217002,577,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Nepal,914,0.003047756381801792,914,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Netherlands,61,0.00020340606049224213,61,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Niger,332,0.0011070624931708917,332,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Nigeria,812,0.0027076347724541085,812,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Norway,1206,0.004021437851699082,1206,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Pakistan,1887,0.006292249772932146,1887,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Panama,136,0.00045349547913024475,136,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Peru,1167,0.003891391354007321,1167,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Philippines,66,0.0002200786884014423,66,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Poland,1330,0.004434919023847247,1330,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Portugal,942,0.003141123098093313,942,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Qatar,680,0.002267477395651224,680,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Romania,595,0.001984042721194821,595,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Russia,2244,0.007482675405649039,2244,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Serbia,1160,0.003868049674934441,1160,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Singapore,55,0.00018339890700120194,55,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Somalia,470,0.0015672270234648165,470,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Spain,1850,0.006168872326404065,1850,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Sudan,481,0.001603906804865057,481,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Sweden,886,0.002954389665510271,886,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Switzerland,580,0.0019340248374672205,580,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Syria,1037,0.0034579030283681165,1037,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Taiwan,551,0.0018373235955938593,551,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Tanzania,305,0.0010170303024612105,305,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Thailand,1224,0.004081459312172203,1224,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Turkey,1031,0.003437895874877076,1031,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Uganda,709,0.002364178637524585,709,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Ukraine,1751,0.005838754293801901,1751,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Venezuela,508,0.0016939389955747378,508,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Vietnam,1400,0.004668335814576049,1400,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Yemen,1024,0.003414554195804196,1024,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 capital of Zimbabwe,353,0.0011770875303895323,353,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Abuja,33176,0.110626220703125,33176,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Accra,26847,0.08952200829565941,26847,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Amman,34749,0.11587142944335938,34749,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Amsterdam,224681,0.7492045422534009,224681,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Ankara,61620,0.20547346635298294,61620,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Apia,3231,0.010773852154925153,3231,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Astana,11629,0.03877719799121777,11629,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Athens,231044,0.7704221285306491,231044,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Baghdad,207223,0.6909903946456375,207223,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Baku,33308,0.11106637807992789,33308,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Bangkok,150214,0.5008924257505191,150214,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Beijing,442953,1.477038110052789,442953,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Belgrade,65252,0.21758446326622596,65252,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Berlin,651757,2.1733003896433156,651757,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Bern,42092,0.14035685079081073,42092,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Brussels,311741,1.0395083394083944,311741,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Bucharest,47087,0.15701280607210175,47087,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Budapest,107102,0.3571343588662314,107102,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Buenos Aires,112075,0.3737169545847219,112075,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Cairo,231494,0.7719226650424771,231494,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Castries,968,0.003227820763221154,968,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 in Copenhagen,139847,0.46632339904358333,139847,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
